phrase_woodruff,phrases_scriptures,similarity_scores
is the will of the devil and not the will of god president young told,"to the will of god, and not to the will of the devil and the",0.798871652273647
of god inspired by the power of god and the gift of the holy ghost,"by the power of the holy ghost, which is the gift of god unto all",0.7699648900383652
"""that seven men shall take hold of one man saying and[""] at this time i","that day, seven women shall take hold of one man, saying: we will eat our",0.7610466100449467
the hands of god of bringing to pass great events in the restoration of the,"which is great in the sight of god, unto the bringing to pass much restoration",0.6930583521538616
the power of god and the gift of the holy ghost events which more deeply,"by the power of the holy ghost, which is the gift of god unto all",0.6855185931512384
wilderness prepare ye the way of the lord and make his paths strait and they,"prepare ye the way of the lord, and make his paths straight; for there standeth",0.6838554811487049
the power of god and the gift of the holy ghost until they have gatherd,"by the power of the holy ghost, which is the gift of god unto all",0.6808572135531076
was to israel when they came out of egypt into the land of canaan and,to israel in the day that he came up out of the land of egypt.,0.6793257945998848
gift of the holy ghost ^and power^ of the holy ghost agreeable to the revelations,"by the power of the holy ghost, which is the gift of god unto all",0.6787402154150254
"should not have had ""adam fell that men might be men are that they may","of him who knoweth all things. adam fell that men might be; and men are,",0.6738285982022928
the power of god and the gift of the holy ghost until they have gatherd,shall have the gift and the power of the holy ghost; and if they endure,0.6568390335217185
the kingdom of god and they think they are in it when they have not,"of men! when they are learned they think they are wise, and they hearken not",0.6561222981426168
say unto thee thou shalt have part in the first resurrection and thou shalt come,"and in that day thou shalt say: o lord, i will praise thee; though thou",0.6521001593465248
america how is it with thee now!! how art thou fallen fallen in the eyes,"under thee, and the worms cover thee. how art thou fallen from heaven, o lucifer,",0.6367144158187631
are ye ingaged in the great rk with us ye will say yes can ye,"the way ye should go ye will not depart from it. wherefore, if ye are",0.6358481392210461
"shall cover the earth as the waters cover the great deep"" it was one of","lord, as the waters cover the sea. and in that day there shall be a",0.6355185881764978
the law shall go forth of zion and the rd of the lord from jerusalem,"law, and the word of the lord from jerusalem. and he shall judge among the",0.6352026952679187
the holy ghost and the gift of the holy ghost cornelius received the holy ghost,"by the power of the holy ghost, which is the gift of god unto all",0.6333715331206295
themselves to be cut off from the church for they uld cut themselves off from,"cut off from the presence of the lord. and behold, they were cut off from",0.6311153726140439
day of thy visit ation thy mourning thy calamity and thy i am ready to,"wherefore, worship the lord thy god, and honor thy father and thy mother, that thy",0.6285970862039629
thou hast spoken well i have all thou hast said in my heart i have,"thou lehi, because of the things which thou hast done; and because thou hast been",0.6265015080428088
the lord that it is a son for unto us a child is born unto,"burning and fuel of fire. for unto us a child is born, unto us a",0.6249177011703391
upon this house and people we implore thy blessing upon thy people and upon this,"the lord shall bring upon thee, and upon thy people, and upon thy father's house,",0.6245905301607859
ah thy books thy journals thy letters and all the productions of thy pen are,"wherefore, worship the lord thy god, and honor thy father and thy mother, that thy",0.621752071407936
gift of the holy ghost ^and power^ of the holy ghost agreeable to the revelations,shall have the gift and the power of the holy ghost; and if they endure,0.6215505054001162
all ye house of israel and all ye nations of the earth we will now,"the lord, unto the wicked. and again: hearken, o ye house of israel, all ye",0.6198639001296099
in heaven and what they loosed on earth should be loosed 1862 in heaven and,"done, insomuch that they loosed me. and it came to pass after they had loosed",0.6181680905071539
them off for they are of the house of israel i preached in the evening,"off from the house of israel, and are we not a branch of the house",0.6176850891255183
say unto thee thou shalt have part in the first resurrection and thou shalt come,thou see. but the things which thou shalt see hereafter thou shalt not write; for,0.6140300810278821
remain in babylon but i will burn them up saith the lord of hosts as,"up against them, saith the lord of hosts, and cut off from babylon the name,",0.613463237904209
generation babylon the excellency of the chaldeans and the glory of kingdoms was in her,"not spare children. and babylon, the glory of kingdoms, the beauty of the chaldees' excellency,",0.612692225355968
thee to thee they have appealed for the righteousness of there cause to thee do,"from thee, that i cut thee not off. for, behold, i have refined thee, i",0.6092169858959086
us a son is given his name shall be called joseph for unto him the,son is given; and the government shall be upon his shoulder; and his name shall,0.6091395355776305
thou knowest for thou knowest all our ways thou hast given unto us of thy,thou knowest that i believe all the words of my father. and when i had,0.6079082584524904
have they carried out this counsel no they have not but what have they done,have they taken away. and all this have they done that they might pervert the,0.6068968032004096
power and sharpness and power he reproved the sins of the twelve and others in,"sharpness of the power of the word of god, which was in him; and that",0.6050966726502941
of israel out of the land of egypt and my arm is streched out in,to israel in the day that he came up out of the land of egypt.,0.601583721978559
2 sons and 3 daughters 6 sarah delight stocking odruff 3 sons and 2 daughter,"his sons, and his daughters, and said unto them: behold, my sons, and my daughters,",0.6015821146230795
hands to heaven to keep all the commandments and statutes of the lord our god,"the judgments, and the statutes, and the commandments of the lord in all things, according",0.6007845935438465
