phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
fear not little flock it is your father's good pleasure to give you the kingdom,fear not little flock for it is your father's good pleasure to give you the kingdom,0.9885356788312021,Luke 12:32
her sins have reached unto heaven and god hath remembered her iniquities and she will,for her sins have reached unto heaven and god hath remembered her iniquities,0.950763888569626,Revelation 18:5
she shall be utterly burned with fire for strong is the lord god who judgeth,shall be utterly burned with fire for strong is the lord god who judgeth her,0.9480758317639828,Revelation 18:8
the saints and the beloved city and fire came down from heaven and devoured them,the saints about and the beloved city and fire came down from god out of heaven and devoured them,0.93313009299671,Revelation 20:9
"saying ""ye are my friends if ye do whatsoever i command you[""] the house was",ye are my friends if ye do whatsoever i command you,0.9313337862797854,John 15:14
says therefore shall her plagues come in one day death and mourning and famine and,therefore shall her plagues come in one day death and mourning and famine and she,0.9263272553801836,Revelation 18:8
we have a more sure word of prophecy where unto ye do well that ye,we have also a more sure word of prophecy whereunto ye do well that ye,0.9258306340538421,2 Peter 1:19
i will build my church and th[e] gates of hell shall not prevail against it,will build my church and the gates of hell shall not prevail against it,0.9230900757349397,Matthew 16:18
upon that there should no sign be given but the sign of the prophet jonas,sign and there shall no sign be given to it but the sign of the prophet jonas,0.9098313563377479,Matthew 12:39
"born this day in the city of david a saviour which is christ the lord""",for unto you is born this day in the city of david a saviour which is christ the lord,0.9021973416213396,Luke 2:11
prophets and thou hast given them blood to drink for they are worthy 6 v,for they have shed the blood of saints and prophets and thou hast given them blood to drink for they are worthy,0.8836254697998549,Revelation 16:6
word of god and tasted of the powers of the world to come if they,and have tasted the good word of god and the powers of the world to come,0.8829636045656343,Hebrews 6:5
a loud voice fear god and give glory to him for the hour of gods,saying with a loud voice fear god and give glory to him for the hour,0.8510751882048969,Revelation 14:7
"shall they that have riches enter into the kingdom of god"" for while one and",that have riches enter into the kingdom of god!,0.8403969976385997,Luke 18:24
so with jesus he said my god my god why hast thou forsaken me in,sabachthani that is to say my god my god why hast thou forsaken me,0.8377501646647417,Matthew 27:46
upon that there should no sign be given but the sign of the prophet jonas,evil generation they seek a sign and there shall no sign be given it but the sign of jonas the prophet,0.8333717541805572,Luke 11:29
in 1838 for the word of god and the testimony of jesus christ he was,word of god and for the testimony of jesus christ,0.8295128897442299,Revelation 1:9
darkness rather than the light because their deeds are evil 12 the lord has raised,darkness rather than light because their deeds were evil,0.8280666098885809,John 3:19
"the following words ""there remaineth therefore a rest for the people of god"" after he",there remaineth therefore a rest to the people of god,0.8266168964590705,Hebrews 4:9
"shall they that have riches enter into the kingdom of god"" for while one and",have riches enter into the kingdom of god!,0.8203434394689171,Mark 10:23
the father is in the son and the son in the father in the tabernacle,antichrist that denieth the father and the son,0.8201853436492385,1 John 2:22
hundred and forty four thousand sealed out of the twelve tribes of israel also spoke,hundred and forty and four thousand of all the tribes of the children of israel,0.8186427294054004,Revelation 7:4
into the world and men love darkness rather than light because their deeds are evil,darkness rather than light because their deeds were evil,0.8180758148110999,John 3:19
son of god afresh and put him to an open frame shame so their is,themselves the son of god afresh and put him to an open shame,0.817223459908667,Hebrews 6:6
all be fulfilled and though heaven and earth pass away my words shall not pass,heaven and earth shall pass away but my words shall not pass away,0.8141347690912408,Mark 13:31
all be fulfilled and though heaven and earth pass away my words shall not pass,heaven and earth shall pass away but my words shall not pass away,0.8141347690912408,Luke 21:33
all be fulfilled and though heaven and earth pass away my words shall not pass,heaven and earth shall pass away but my words shall not pass away,0.8141347690912408,Matthew 24:35
man and woman had a head the presidency of the church is the head of,the head of the woman is the man and the head of christ is god,0.8126921628030361,1 Corinthians 11:3
be saved in the day of the lord jesus they were sealed by the spirit,spirit may be saved in the day of the lord jesus,0.8006435963477692,1 Corinthians 5:5
open the book and loose the seals thereof and those who are ordained kings and,open the book and to loose the seals thereof,0.798899026490078,Revelation 5:2
eye hath seen nor ear heard neither hath it entered into the heart of man,but as it is written eye hath not seen nor ear heard neither have entered,0.7928392361834095,1 Corinthians 2:9
through much persecution for the word of god and the testimony of jesus christ in,word of god and for the testimony of jesus christ,0.7915236548364505,Revelation 1:9
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.790623516398033,Luke 21:33
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.790623516398033,Matthew 24:35
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.790623516398033,Mark 13:31
be blotted out when the times of refreshing shall come from the presence of the,times of refreshing shall come from the presence of the lord,0.7870488036416136,Acts 3:19
voice of humble men who spake as they were moved upon by the holy ghost,men of god spake as they were moved by the holy ghost,0.786533048414952,2 Peter 1:21
from their labours and if their friends are faithful their works will follow them but,from their labours and their works do follow them,0.7863537071138468,Revelation 14:13
two divisions one on the right and the other on the left the right hand,him and the malefactors one on the right hand and the other on the left,0.786164598429001,Luke 23:33
if that sin is not unto death their is a sin unto death which we,if any man see his brother sin a sin which is not unto death he,0.7853647512554245,1 John 5:16
of love what greater love hath any man than that he lay down his life,greater love hath no man than this that a man lay down his life for his friends,0.7850556444335862,John 15:13
the word of god and testimony of jesus christ to bear my testimony unto you,word of god and for the testimony of jesus christ,0.7825927159920517,Revelation 1:9
ch of math agree with thine adversary quickly while thou art in the way with,agree with thine adversary quickly whiles thou art in the way with him lest at,0.7817584930705742,Matthew 5:25
let us have compassion on others as we wish god to have compassion on us,and i will have compassion on whom i will have compassion,0.7723819349353271,Romans 9:15
the kingdom of god is set up for the last time to again restore israel,this time restore again the kingdom to israel,0.7721817010848514,Acts 1:6
"st luke ""and the angel said unto them fear not for behold i bring you",and the angel said unto them fear not for behold i bring you good tidings,0.7654018451217944,Luke 2:10
the coming of the son of man and i had the spirit and power of,the coming of the son of man be,0.7638100216591156,Matthew 24:39
from the east and from the west and that that the north shall give up,and they shall come from the east and from the west and from the north,0.7620255310873276,Luke 13:29
of the saints the work of the ministry and the edifying of the body of,for the perfecting of the saints for the work of the ministry for the edifying of the body of christ,0.7616927835912427,Ephesians 4:12
jr shall all be fulfilled and though heaven and earth pass away my words shall,heaven and earth shall pass away but my words shall not pass away,0.7607497457396893,Matthew 24:35
jr shall all be fulfilled and though heaven and earth pass away my words shall,heaven and earth shall pass away but my words shall not pass away,0.7607497457396893,Mark 13:31
jr shall all be fulfilled and though heaven and earth pass away my words shall,heaven and earth shall pass away but my words shall not pass away,0.7607497457396893,Luke 21:33
"of the day from the following words ""if our gospel be hid it be hid",but if our gospel be hid it is hid to them that are lost,0.7605678055725615,2 Corinthians 4:3
two divisions one on the right and the other on the left the right hand,on the right hand and on the left,0.760305675337219,2 Corinthians 6:7
young preached from this text judge not that ye be not judged he gave much,judge not that ye be not judged,0.7591779134611779,Matthew 7:1
will i give power over the nations and he shall rule them with a rod,the nations and he shall rule them with a rod of iron and he treadeth,0.756895836469938,Revelation 19:15
came not of old time by the will of man but holy men of god,for the prophecy came not in old time by the will of man but holy,0.7564684532010183,2 Peter 1:21
are born of the water and the spirit you cannot enter into the kingdom of,and of the spirit he cannot enter into the kingdom of god,0.7543828319719672,John 3:5
the bones and marrow 9 ^1860^ and thoughts and intents of the hearts of the,marrow and is a discerner of the thoughts and intents of the heart,0.7541309540691821,Hebrews 4:12
promised them that they should sit upon twelve thrones judging the twelve tribes of israel,his glory ye also shall sit upon twelve thrones judging the twelve tribes of israel,0.7540891598016223,Matthew 19:28
god of abraham and of isaac and of jacob i am he who led the,of abraham and the god of isaac and the god of jacob,0.7521681223248515,Mark 12:26
so with jesus he said my god my god why hast thou forsaken me in,sabachthani which is being interpreted my god my god why hast thou forsaken me,0.749899198751383,Mark 15:34
and trim their lamps and to take oil in their vessels with their lamps and,but the wise took oil in their vessels with their lamps,0.7482875961820366,Matthew 25:4
and the love of god our father and the grace of jesus christ our lord,god our father and the lord jesus christ,0.7482601121263849,1 Thessalonians 1:1
there persecutors if ye were of the world the world would love its own but,if ye were of the world the world would love his own but because ye,0.7457789199639854,John 15:19
by all the holy prophets and apostles since the world began who have spoken as,hath spoken by the mouth of all his holy prophets since the world began,0.7435416754231168,Acts 3:21
and the love of god our father and the grace of jesus christ our lord,grace to you and peace from god our father and the lord jesus christ,0.7427186257284079,Philemon 1:3
am in the father and the father in me now i do not suppose that,believest thou not that i am in the father and the father in me the,0.7422176658996493,John 14:10
be burned up that they may be saved in the day of the lord jesus,spirit may be saved in the day of the lord jesus,0.7365060967142968,1 Corinthians 5:5
