phrase_woodruff,phrases_scriptures,similarity_scores,verse_title
s t – u – v – w – – x – y z and,and hadoram and uzal and diklah,1.0,Genesis 10:27
s t – u – v – w – – x – y z and,and kedesh and hazor and ithnan,1.0,Joshua 15:23
s t – u – v – w – – x – y z and,jarmuth and adullam socoh and azekah,1.0,Joshua 15:35
s t – u – v – w – – x – y z and,and jahazah and kedemoth and mephaath,1.0,Joshua 13:18
s t – u – v – w – – x – y z and,and ahio shashak and jeremoth,1.0,1 Chronicles 8:14
s t – u – v – w – – x – y z and,and hapharaim and shion and anaharath,1.0,Joshua 19:19
s t – u – v – w – – x – y z and,and parmashta and arisai and aridai and vajezatha,1.0,Esther 9:9
s t – u – v – w – – x – y z and,mattaniah mattenai and jaasau,1.0,Ezra 10:37
s t – u – v – w – – x – y z and,and jehud and beneberak and gathrimmon,1.0,Joshua 19:45
s t – u – v – w – – x – y z and,and eltekeh and gibbethon and baalath,1.0,Joshua 19:44
s t – u – v – w – – x – y z and,and elioenai and jaakobah and jeshohaiah and asaiah and adiel and jesimiel and benaiah,1.0,1 Chronicles 4:36
s t – u – v – w – – x – y z and,mishma and dumah massa hadad and tema,1.0,1 Chronicles 1:30
s t – u – v – w – – x – y z and,and dilean and mizpeh and joktheel,1.0,Joshua 15:38
s t – u – v – w – – x – y z and,and jiphtah and ashnah and nezib,1.0,Joshua 15:43
s t – u – v – w – – x – y z and,and ziklag and madmannah and sansannah,1.0,Joshua 15:31
s t – u – v – w – – x – y z and,giddalti and romamtiezer joshbekashah mallothi hothir and mahazioth,1.0,1 Chronicles 25:4
s t – u – v – w – – x – y z and,azareel and shelemiah shemariah,1.0,Ezra 10:41
s t – u – v – w – – x – y z and,and avim and parah and ophrah,1.0,Joshua 18:23
s t – u – v – w – – x – y z and,and zebadiah and arad and ader,1.0,1 Chronicles 8:15
s t – u – v – w – – x – y z and,and elienai and zilthai and eliel,1.0,1 Chronicles 8:20
s t – u – v – w – – x – y z and,and ibhar and elishua and elpalet,1.0,1 Chronicles 14:5
s t – u – v – w – – x – y z and,and ahijah hanan anan,1.0,Nehemiah 10:26
s t – u – v – w – – x – y z and,bezer and hod and shamma and shilshah and ithran and beera,1.0,1 Chronicles 7:37
s t – u – v – w – – x – y z and,and eltolad and bethul and hormah,1.0,Joshua 19:4
s t – u – v – w – – x – y z and,hadar and tema jetur naphish and kedemah,1.0,Genesis 25:15
s t – u – v – w – – x – y z and,and parshandatha and dalphon and aspatha,1.0,Esther 9:7
s t – u – v – w – – x – y z and,and betharabah and zemaraim and bethel,1.0,Joshua 18:22
s t – u – v – w – – x – y z and,ziph and telem and bealoth,1.0,Joshua 15:24
s t – u – v – w – – x – y z and,and bani and binnui shimei,1.0,Ezra 10:38
s t – u – v – w – – x – y z and,and zanoah and engannim tappuah and enam,1.0,Joshua 15:34
s t – u – v – w – – x – y z and,and atroth shophan and jaazer and jogbehah,1.0,Numbers 32:35
s t – u – v – w – – x – y z and,and remeth and engannim and enhaddah and bethpazzez,1.0,Joshua 19:21
s t – u – v – w – – x – y z and,and kinah and dimonah and adadah,1.0,Joshua 15:22
s t – u – v – w – – x – y z and,lachish and bozkath and eglon,1.0,Joshua 15:39
s t – u – v – w – – x – y z and,and gedor and ahio and zacher,1.0,1 Chronicles 8:31
s t – u – v – w – – x – y z and,and chesed and hazo and pildash and jidlaph and bethuel,1.0,Genesis 22:22
s t – u – v – w – – x – y z and,and rekem and irpeel and taralah,1.0,Joshua 18:27
s t – u – v – w – – x – y z and,and rabbith and kishion and abez,1.0,Joshua 19:20
s t – u – v – w – – x – y z and,and elon and thimnathah and ekron,1.0,Joshua 19:43
s t – u – v – w – – x – y z and,and mishma and dumah and massa,1.0,Genesis 25:14
s t – u – v – w – – x – y z and,shemaiah and joiarib jedaiah,1.0,Nehemiah 12:6
s t – u – v – w – – x – y z and,and jakim and zichri and zabdi,1.0,1 Chronicles 8:19
s t – u – v – w – – x – y z and,and hazarshual and balah and azem,1.0,Joshua 19:3
s t – u – v – w – – x – y z and,ehud and chenaanah and zethan and tharshish and ahishahar,1.0,1 Chronicles 7:10
s t – u – v – w – – x – y z and,and bethpeor and ashdothpisgah and bethjeshimoth,1.0,Joshua 13:20
s t – u – v – w – – x – y z and,and cabbon and lahmam and kithlish,1.0,Joshua 15:40
s t – u – v – w – – x – y z and,and eltolad and chesil and hormah,1.0,Joshua 15:30
s t – u – v – w – – x – y z and,and gera and shephuphan and huram,1.0,1 Chronicles 8:5
s t – u – v – w – – x – y z and,and hazarshual and beersheba and bizjothjah,1.0,Joshua 15:28
s t – u – v – w – – x – y z and,and shaalabbin and ajalon and jethlah,1.0,Joshua 19:42
s t – u – v – w – – x – y z and,and shamsherai and shehariah and athaliah,1.0,1 Chronicles 8:26
s t – u – v – w – – x – y z and,and abishua and naaman and ahoah,1.0,1 Chronicles 8:4
s t – u – v – w – – x – y z and,and kedesh and edrei and enhazor,1.0,Joshua 19:37
s t – u – v – w – – x – y z and,and nogah and nepheg and japhia,1.0,1 Chronicles 3:7
s t – u – v – w – – x – y z and,and adoraim and lachish and azekah,1.0,2 Chronicles 11:9
s t – u – v – w – – x – y z and,amam and shema and moladah,1.0,Joshua 15:26
