phrase_woodruff,phrases_scriptures,similarity_scores
you saith the lord almighty i will rend 3 their kingdoms i will shake not,"saith the lord almighty, i will rend their kingdoms; i will not only shake the",0.9022619587235212
at the coming of the son of man what are the signs of the times,"the signs of the times, and the signs of the coming of the son of",0.8299873351202763
extend to the laying on of hands for the giving of the holy ghost that,"the laying on of the hands, and the giving of the holy ghost; and to",0.8171259870140088
the church and given over to the buffetings of satan until the day of the,"my church, and shall be delivered over to the buffetings of satan until the day",0.8049518587161608
i will send you elijah the prophet before the coming of the great and dreadful,"hand of elijah the prophet, before the coming of the great and dreadful day of",0.8032447237788652
turn the hearts of the fathers to the children and the hearts of the children,"power of turning the hearts of the fathers to the children, and the hearts of",0.8001143448269497
am in your midst i am your advocate with the father fear not little flock,"i am in your midst, and am your advocate with the father; and it is",0.7985821422142487
lord come and he shall turn the hearts of the fathers to the children and,"to the fathers, and the hearts of the children shall turn to their fathers. if",0.7973734996788272
cleanse our feet with water pure water whether in heat or in cold and bear,"water, pure water, whether in heat or in cold, and bear testimony of it unto",0.7860502809726038
cannot keep a celestial law and are not able to abide a celestial glory they,celestial kingdom cannot abide a celestial glory. and he who cannot abide the law of,0.7838484852526916
"day of the lord"" ""and he shall turn the hearts of the fathers to the","to the fathers, and the hearts of the children shall turn to their fathers. if",0.7775681922541818
last days he was like nathaniel of old in whom there is no guile he,"he is like unto nathanael of old, in whom there is no guile. these words",0.7766314413990473
unto my servant john taylor 1808 and my servant wilford odruff and my servant orson,"my servant luke johnson, and unto my servant lyman johnson, and unto my servant william",0.771305408461436
turn the hearts of the fathers to the children and the hearts of the children,"to the fathers, and the hearts of the children shall turn to their fathers. if",0.7690437861595364
the hearts of the children to the ancient fathers and the children to the fathers,"to the fathers, and the hearts of the children shall turn to their fathers. if",0.7683910676754434
the northern states and the northern states against the southern states and that war uld,"states shall be divided against the northern states, and the southern states will call on",0.7577181783990516
the wicked but hearken and hear o ye apostles elders and people of my church,"hearken, o ye people of my church, and ye elders listen together, and hear my",0.7494416691057562
gather the jews oft as a hen gathereth her chickens under her wings but they,"gathereth her chickens under her wings, but ye would not! how oft have i called",0.7398522787982652
holy ghost by the laying on of hands and partake of the blessing of god,"of the holy ghost, by the laying on of the hands of the elders of",0.7386660104588817
gather the jews oft as a hen gathereth her chickens under her wings but they,"will gather his people even as a hen gathereth her chickens under her wings, even",0.7376168212863556
my servant john taylor 1808 and my servant wilford odruff and my servant orson pratt,my servant thomas b. marsh; also my servant hyrum smith and my servant reynolds cahoon;,0.7373474074689675
unto my servant john taylor 1808 and my servant wilford odruff and my servant orson,my servant thomas b. marsh; also my servant hyrum smith and my servant reynolds cahoon;,0.7359902153720626
the wicked but hearken and hear o ye apostles elders and people of my church,"your god unto you, o ye elders of my church, hearken ye and hear, and",0.7291131503554215
the bible to the 1st of st john the light shineth in darkness and and,and the life of the world--a light that shineth in darkness and the darkness comprehendeth,0.7281797431403121
when men speak as they are moved upon by the holy ghost it is the,the holy ghost. and whatsoever they shall speak when moved upon by the holy ghost,0.7271575867758775
at the coming of the son of man what are the signs of the times,the signs of the coming of the son of man. and they shall see signs,0.7230368606668327
remission of sins and the gift of the holy ghost by the laying on of,"baptism and the gift of the holy ghost by the laying on of the hands,",0.72106668147032
my servant john taylor 1808 and my servant wilford odruff and my servant orson pratt,and also my servant daniel stanton and my servant seymour brunson; and also my servant,0.719677850731474
and the cup of the wrath of mine indignation is full and i will not,"the wicked, for they will not repent; for the cup of mine indignation is full;",0.7192378981814227
unto my servant john taylor 1808 and my servant wilford odruff and my servant orson,and also my servant daniel stanton and my servant seymour brunson; and also my servant,0.718353181950603
as signs in the heavens and earth of the coming of the son of man,"the signs of the times, and the signs of the coming of the son of",0.7155170964076661
say unto thee thou shalt have part in the first resurrection and thou shalt come,"i say unto thee, because thou desirest this thou shalt tarry until i come in",0.7144585140476403
as signs in the heavens and earth of the coming of the son of man,the signs of the coming of the son of man. and they shall see signs,0.7139728378031114
the nations of the earth shall be fulfilled saith the lord of hosts i the,"saith the lord of hosts, that wickedness shall not be upon the earth; for the",0.7127467376275658
taken from it until he reigns whose right it is to reign let thy heart,"the powers that be, until he reigns whose right it is to reign, and subdues",0.7127260710690322
a hen gathereth her chickens under wings but ye uld not and he then asked,"gathereth her chickens under her wings, but ye would not! how oft have i called",0.7121226215385261
have watched the signs of the times signs of the times for many years and,"the signs of the times, and the signs of the coming of the son of",0.7109431010811161
unto my servant john taylor 1808 and my servant wilford odruff and my servant orson,"say unto you, let my servant lyman wight and my servant john corrill take their",0.7105947543406568
my servant john taylor 1808 and my servant wilford odruff and my servant orson pratt,"my servant luke johnson, and unto my servant lyman johnson, and unto my servant william",0.7096685737247024
your midst i am your advocate with the father i have given mine angels charge,"i am in your midst, and am your advocate with the father; and it is",0.7053289120955514
heaven and earth pass away my rds shall not pass away but shall all be,"the heaven and the earth shall be consumed and pass away, and there shall be",0.7036802010922922
of the gospel of jesus christ to the gentiles first and then to the house,the fulness of the gospel of jesus christ to the gentiles and to the jews,0.7032312282224131
spirit of god then you will know all that is going on and when you,"unto you that spirit, then you may know that it is not of god. and",0.7022938176307582
the honor glory and thanksgiving unto god and the lamb both now and forever amen,"god and the lamb be glory, and honor, and dominion forever and ever. amen. q.",0.7018453348464302
seventy or one of the twelve he can officiate in all the lesser offices of,officiate in all the lesser offices he may officiate in the office of bishop when,0.6981580147741415
four thousand sealed out of the twelve tribes of israel also spoke of the blessings,"the one hundred and forty-four thousand, out of all the tribes of israel--twelve thousand out",0.69694334269656
page 159 4 par behold i grant unto you eternal life if you should be,"you do this, behold i grant unto you eternal life, even if you should be",0.692602927843504
the spirit of god bears record and the record is truth and truth abideth forever,"is god, and the spirit beareth record, and the record is true, and the truth",0.6889528635420449
of the children to their fathers and the fathers to the children lest i come,"to the fathers, and the hearts of the children shall turn to their fathers. if",0.6857524362850909
understand great mysteries in this generation yea all the mysteries of the kingdom of god,"will i reveal all mysteries, yea, all the hidden mysteries of my kingdom from days",0.6857493292185914
is fully come and shall be poured out without measure upon the wicked but harken,poured out upon the wicked without measure-- unto the day when the lord shall come,0.682355976681573
cannot if the lord will forgive you i will forgive you for maring my feelings,"sin. i, the lord, will forgive whom i will forgive, but of you it is",0.6818517567571968
prophet and he that believeth it may be saved and he that believeth it not,that believeth not shall be damned. and he that believeth shall be blest with signs,0.681421459045733
of god inspired by the power of god and the gift of the holy ghost,"of god which shall come hereafter by the gift and power of the holy ghost,",0.6809816074145847
