phrase_woodruff,phrases_scriptures,similarity_scores
i will send you elijah the prophet before the coming of the great and dreadful,i will send you elijah the prophet before the coming of the great and dreadful,1.0000000000000002
children and the hearts of the children to their fathers lest i come and smite,"children, and the heart of the children to their fathers, lest i come and smite",0.8945183736391462
"day of the lord"" ""and he shall turn the hearts of the fathers to the",day of the lord; and he shall turn the heart of the fathers to the,0.8281915405283887
says lord lord that shall enter into my kingdom but he that doeth the will,"unto me, lord, lord, shall enter into the kingdom of heaven; but he that doeth",0.8170591360419679
the hearts of the children to the fathers lest i come and smite the earth,"children, and the heart of the children to their fathers, lest i come and smite",0.7879369567786679
of the children to their fathers and the fathers to the children lest i come,"children, and the heart of the children to their fathers, lest i come and smite",0.7822103881031571
gather the jews oft as a hen gathereth her chickens under her wings but they,"have i gathered you as a hen gathereth her chickens under her wings, and have",0.7448235340260214
if ye are the sons of god ye shall have all things he that over,"things. and if ye shall always do these things blessed are ye, for ye are",0.7288973897890175
a hen gathereth her chickens under wings but ye uld not and he then asked,"have i gathered you as a hen gathereth her chickens under her wings, and have",0.7265701644622681
lord come and he shall turn the hearts of the fathers to the children and,day of the lord; and he shall turn the heart of the fathers to the,0.7088226814342432
south and sit down with abraham isaac and jacob in the kingdom of god the,"heaven, to sit down with abraham, and isaac, and with jacob, and with all our",0.7042618373518064
"other sheep which are not of this fold and"" he says that is not a",they of whom i said: other sheep i have which are not of this fold;,0.7041149465883326
gather the jews oft as a hen gathereth her chickens under her wings but they,"i have spared, how oft will i gather you as a hen gathereth her chickens",0.6915568241574324
"hyde preached in the morning upon the text ""strait is the gate and narrow the","enter ye in at the strait gate; for strait is the gate, and narrow is",0.6907340203850627
go to the lamanites and that 1847 may not pass away until the lamanites with,lamanites all the land southward. and it came to pass that the lamanites did not,0.6901849264066026
a hen gathereth her chickens under wings but ye uld not and he then asked,"a hen gathereth her chickens, and ye would not. o ye house of israel whom",0.6831444531052766
water and he baptized him and coming up out of the water he laid hands,water and was baptized. and he came up out of the water and began to,0.679678120593585
of an eye from mortality to immortality and shall be caught up to meet the,the twinkling of an eye from mortality to immortality; and then shall ye be blessed,0.6793404686017259
prophet and he that believeth it may be saved and he that believeth it not,it from the father; and whoso believeth in me believeth in the father also; and,0.6788451952912914
if they will hearken unto my voice and do as i command them the blood,"but if they will not turn unto me, and hearken unto my voice, i will",0.6753027324848995
the holy ghost until the holy ghost has revealed unto him the father and son,"father, and the son, and the holy ghost are one; and i am in the",0.6728551688167196
the nations of the earth shall be fulfilled saith the lord of hosts i the,"the time in the fields, saith the lord of hosts. and all nations shall call",0.6714560494919254
who is able to abide these things 11 and who will stand when he appeareth,"may abide the day of his coming, and who shall stand when he appeareth? for",0.668603580625716
then our light becomes darkness then how great is that darkness it uld be better,"if, therefore, the light that is in thee be darkness, how great is that darkness!",0.6648775288100167
are ye ingaged in the great rk with us ye will say yes can ye,"o ye wicked and ye perverse generation; ye hardened and ye stiffnecked people, how long",0.6638991921153043
adversary quickly while thou art in the way with them and the adversary is some,"heart, and i will receive you. agree with thine adversary quickly while thou art in",0.6574559252072147
gentile rld which have been spoken of and pointed out by all the holy prophets,"the words of the lord, which have been spoken by the holy prophets, shall all",0.653559712949699
time flies and how great how important how magnificent and how mighty are the events,"how foolish, and how vain, and how evil, and devilish, and how quick to do",0.6513814615884534
if ye are the sons of god ye shall have all things he that over,"ye shall testify that ye have seen me, and that ye know that i am.",0.6418123646560326
unto ye do well that ye take heed as unto a light shining in a,"unto them, saying: blessed are ye if ye shall give heed unto the words of",0.6379971396585089
the cause of truth long and loud from east west south and north far from,"east and from the west, and from the south and from the north; and they",0.6368724210894074
god because of their great sins and wickedness in the sight of heaven and earth,"because of their sins and their wickedness, which was above all the wickedness of the",0.6366100251412597
t – u – v – w – – x – y z and 1,"and mathonihah, his brother, and kumen, and kumenonhi, and jeremiah, and shemnon, and jonas, and",0.6333394244881563
all be fulfilled upon our heads that not one jot or tittle should fail and,"it must be fulfilled; yea, that one jot or tittle should not pass away till",0.6306733698435584
from the jews and who shall have the land not the jews the natural seed,"also be among the jews, and the jews shall know them not. and it shall",0.629976500961551
uld be dead themselves not bring forth fruit and do the tree no good but,"a good tree cannot bring forth evil fruit, neither a corrupt tree bring forth good",0.629871140262945
if ye are the sons of god ye shall have all things he that over,which ye have seen me do that shall ye also do; for that which ye,0.6293439003322467
go to the lamanites and that 1847 may not pass away until the lamanites with,and the lamanites and the lemuelites and the ishmaelites. now the lamanites and the lemuelites,0.6289830592558034
to rest upon us o ye priest of baal o ye gentile religionest o ye,"o ye wicked and ye perverse generation; ye hardened and ye stiffnecked people, how long",0.628708707865727
"to their fathers lest i come and smite the whole earth with a curse"" now","children, and the heart of the children to their fathers, lest i come and smite",0.6280771746571695
if ye are the sons of god ye shall have all things he that over,"blessed are ye, for ye shall never taste of death; but ye shall live to",0.6277675509949082
are ye ingaged in the great rk with us ye will say yes can ye,"ye gentiles, how can ye stand before the power of god, except ye shall repent",0.6273980109669597
ye are the people ye elders of israel and latter day saints that are moved,"me. and behold, ye are the children of the prophets; and ye are of the",0.6264898646150955
and from the west and that that the north shall give up and the south,"east and from the west, and from the south and from the north; and they",0.6258182275490034
the holy ghost and the gift of the holy ghost cornelius received the holy ghost,"ghost did fall upon them, and they were filled with the holy ghost and with",0.6256095259696492
the holy ghost until the holy ghost has revealed unto him the father and son,"the father, and i, and the holy ghost are one. and again i say unto",0.6239142678081679
are ye ingaged in the great rk with us ye will say yes can ye,"things. and if ye shall always do these things blessed are ye, for ye are",0.6227322713994382
thou shalt teach thy companions the ways of righteousness thou shalt have many temporal blessing,the peace of thy children. in righteousness shalt thou be established; thou shalt be far,0.6227262066733545
go to the lamanites and that 1847 may not pass away until the lamanites with,the nephites or the lamanites. and it came to pass that the lamanites did also,0.6200060995962975
do ye not know these things are true you do and so do i for,"have seen me do even that shall ye do; therefore, if ye do these things",0.6184243594337122
"are those who do the will of my father which is in heaven"" i attended",the will of my father who is in heaven. many will say to me in,0.6167409819541646
but one fold and one shepherd he allso said that no elder understood all the,"one fold, and one shepherd. and they understood me not, for they supposed it had",0.6158086701181317
the holy ghost until the holy ghost has revealed unto him the father and son,and the holy ghost will bear record unto him of the father and me; for,0.614153035486817
and temporal things i uld say that temporal and spiritual things are one but what,"dead, both as to things temporal and to things spiritual. but behold, the resurrection of",0.6133518297621341
benefit unto them we also pray the our father in the name of jesus christ,pray unto the father in the name of jesus. and the disciples did pray unto,0.6117135077680649
young preached from this text judge not that ye be not judged he gave much,"ye be not judged. for with what judgment ye judge, ye shall be judged; and",0.6107469531265728
shed our blood or that we need not shed their blood and the lord has,their own land. we would not shed the blood of our brethren if they would,0.6081500576905473
are ye ingaged in the great rk with us ye will say yes can ye,"in our great and eternal head. o ye people of the land, that ye would",0.6071100859631818
was not wisdom to give it unto you but if you are faithful the day,"with you, the father commanded that i should give unto you; for it was wisdom",0.6066240464019017
of the son and of the holy ghost for the remission of sins it is,"the holy ghost, and shall receive a remission of their sins. yea, blessed are the",0.605968569524686
man and may thy will be done on earth in all things as it is,name. thy will be done on earth as it is in heaven. and forgive us,0.6056093122229983
are ye ingaged in the great rk with us ye will say yes can ye,"heart, ye blind, and ye stiffnecked people, do ye know how long the lord your",0.6055957393037354
with the laws of the country and so with the laws of nauvoo they are,"all manner of wickedness, contrary to the laws of their country and also the laws",0.602389342814559
if ye are the sons of god ye shall have all things he that over,ye have need of all these things. but seek ye first the kingdom of god,0.6016534633387232
their streets tens of thousands fell by the edge of the srd and thousands by,"their armies, and cutting them off by thousands and by tens of thousands. and thus",0.6010263091016564
