phrase_woodruff,phrases_scriptures,similarity_scores
thou knowest for thou knowest all our ways thou hast given unto us of thy,knowest thou the thought and intent of our hearts? how knowest thou that we have,0.7051798731765075
are ye ingaged in the great rk with us ye will say yes can ye,"ye suppose that ye cannot worship god, ye do greatly err, and ye ought to",0.6718448192927465
themselves to be cut off from the church for they uld cut themselves off from,they were cut off from the tree of life they should be cut off from,0.6681258011037993
go to the lamanites and that 1847 may not pass away until the lamanites with,"the lamanites. and it came to pass that when the lamanites had passed by, or",0.6466916747621146
after the resurrection of christ the good did arise at the resurrection of christ we,"to pass before the resurrection of those who die after the resurrection of christ. now,",0.6436560442616741
who were faithful in keeping the commandments of god uld have their children again but,"other words, if they were faithful in keeping the commandments of god that he would",0.6432979980070767
keep the commandments of god that we may prosper in the land several other brethren,shall keep the commandments of god ye shall prosper in the land. i would that,0.6406652329386072
to rest upon us o ye priest of baal o ye gentile religionest o ye,"ye suppose that ye cannot worship god, ye do greatly err, and ye ought to",0.6400154954271767
go to the lamanites and that 1847 may not pass away until the lamanites with,the lamanites. and it came to pass that the captains of the lamanites brought up,0.631971560094952
are ye ingaged in the great rk with us ye will say yes can ye,"ye tempt your god? will ye say, show unto me a sign, when ye have",0.6292813744909799
go to the lamanites and that 1847 may not pass away until the lamanites with,to pass that the amalekites and the amulonites and the lamanites who were in the,0.6292415097068663
"""ye are my friends if ye do whatsoever i command you[""] the house was full","ye do not this, behold, ye are in our hands, and i will command my",0.625210816762751
if ye are the sons of god ye shall have all things he that over,"ye suppose that ye cannot worship god, ye do greatly err, and ye ought to",0.6222697777095364
ye are laying the foundation of a great rk and ye know it not we,ye do not see; therefore ye cannot know that there shall be a christ. ye,0.6207296520291032
the saints of god who have entered into covenant with 2 the lord and have,and entered into a covenant of peace. and as many as entered into a covenant,0.6197570398401558
woodruff prayed and called upon the lord to pour out his spirit upon us and,the lord did begin to pour out his spirit upon them; and we see that,0.6168753794663947
who were faithful in keeping the commandments of god uld have their children again but,those who were faithful in keeping the commandments of the lord were delivered at all,0.6135738752258382
are in our hands to seal our children and our dead for the fulness of,of time in our possession; and our fathers and our women and our children are,0.6117121122721549
are ye ingaged in the great rk with us ye will say yes can ye,ye do not see; therefore ye cannot know that there shall be a christ. ye,0.6112147701633177
ye are laying the foundation of a great rk and ye know it not we,"not desire to be men of blood. ye know that ye are in our hands,",0.6092471898885738
all ye house of israel and all ye nations of the earth we will now,in christ. and now ye see that ye cannot destroy this our faith. now ye,0.6050594751478936
hands to heaven to keep all the commandments and statutes of the lord our god,"not observe to keep the commandments of god, and his statutes, according to the law",0.6045774184876025
knowest the hearts and intent of the children of men to wards thy people our,knowest thou the thought and intent of our hearts? how knowest thou that we have,0.6031572144641797
and power of god concerning zion the armies of israel and the armies of the,"jershon for the armies of the nephites, that they might contend with the armies of",0.6026626215056247
up prophet and warned them of it but they did not give heed to them,"arose a dissension among them, and they would not give heed to the words of",0.60090696506415
are ye ingaged in the great rk with us ye will say yes can ye,in christ. and now ye see that ye cannot destroy this our faith. now ye,0.600809634245755
